asin,title,review,star
B0855T8JT2,"







  
  
    Okay for the price point, IF you aren’t finicky about audio quality
  
","









  
  
    
  Pros -1. The design of the case and headphones are amazing. Looks sleek and the build is great2. Light weight, can barely feel it there.3. The button controls are pretty smooth.4. Battery life is adequate, for average usersCons -1. Audio quality is quite average, specially compared to other products from Crossbeats. There’s no noise cancellation and it’s overall echoy2. Sound quality on calls is badIt’s still a decent product, but with that sound quality, i think it’s overpriced.

  
",3.0
B0855T8JT2,"







  
  
    Bang for the buck wireless marvel
  
","









  
  
    
  When people praised the look of the earphones to the sky, I though they were kidding. These are really adorable ear pieces which pair amazingly quickly to your tab or phone using BT 5.0. The sound quality is stunning with the right levels of bass and treble. However, sometimes during calls.. I need to hold one ear piece near my mouth if I am not loud enough for the dual mics from the ear pieces to pick up my voice. So, it's not for low tone mushy calls .. hehe. Low latency means video viewing is without audio lag. I love it that they charge in their cute little case every time I put them there and are ready for my next listen. The case can easily fit in your pocket and is quite sturdy, so super portable. You will never run out of juice.At 4.5k, they offer grreat value for money. The case is also a type C fast charging unit but yet to try it. Use your own charger or power bank.

  
",5.0
B0855T8JT2,"







  
  
    Don't fall for the paid positive reviews
  
","









  
  
    
  First of all I would like to warn you that the positive reviews here are all paid reviews, the incentive being 3 months ganna subscription. As soon as you register the product for the warranty you start getting whatsapp messages and calls from a crossbeats customer representative number continuously asking you to send screenshot of positive review in exchange of 3 months gaana subscription.  They have this dedicated channel for pushing customers to give positive reviews but in case you face an issue there is no way you can directly talk to a customer representative to resolve it. You have to send a mail to support and wait for 48 hours for a reply, that too in first mail reply they will ask for invoice and other product details even though you're sending the mail from the same mail id in which the product is registered. In the second mail they will ask you to restart the bud and check if it resolves the issue and in the third mail ask you to record a video of the problem and send them. I am facing audio connectivity issue, still they asked me to send a video, don't know how can I record in video. So on average it is almost a week till you get actual response for your problem. Now whether it will actually help you in another issue.I was having connectivity issue for which the audio output from the right bud is getting disrupted very frequently. It is for split second only but every few seconds it is repeating like this which is very irritating. And the response which I finally got after one week is ""This is standard across all Bluetooth powered devices."". I was told it is because of my WiFi that the bluetooth connection is getting disrupted and it is very normal. But when I replied that I have been using a bluetooth earphone and bluetooth speaker of other brands for more than 4 years and never faced this issue so I surely it is not standard for all bluetooth devices and even my left bud is working fine only the right one is having problem I got no reply. Since I bought it less than a month ago so I asked for a replacement as they couldn't help me fix the issue. I got no response since then. But for getting a positive review they will send whatsapp reminder everyday and call you every alternate day without fail.

  
",1.0
B0855T8JT2,"







  
  
    Rip off......
  
","









  
  
    
  It's a rip offIts jus a good looking headphone with functionality problemsI regret going for itNoise cancellation is crappy andVoice echo on all sorts of callsAnd no support from customer care

  
",1.0
B0855T8JT2,"







  
  
    The design and look of this earphones are amazing but
  
","









  
  
    
  It has got a good battery life,  handy device, decent sound, slick design but1. Connection issues2. Reset guide given doesn't work3. The microphone is horrible (constant noise at the receiving end)4. Hard time connecting the device as it fails to detect the individual earpiece5. Price is too high as compare to basic services it offers6. Bass isn't as one would expect it to be.  [Hint: Bass needs to be high]

  
",1.0
B0855T8JT2,"







  
  
    Great audio quality, battery life & looks at this price range !!! For more details read below
  
","









  
  
    
  Pros of this product :1. Made in India (Indian origin startup)2. Looks (awesome looking earbuds and sleek and chic charging case)3. Good Battery life+ fast charging of earbuds4. USB-C charging !!!!! ( big plus point for me )5. Very good audio quality especially for music6. Very good Fit7. Very good audio of person calling usCons:1. Bad audio from us...to the person whom we are calling2. Button makes kinda loud sound when in pressed while earbuds are in earVerdict : Great audio quality, great battery life and great looks at this price range !!!

  
",4.0
B0855T8JT2,"







  
  
    I got cheated by fake youtubers
  
","









  
  
    
  I have heard great reviews on this product from some youtubers like technology jock and few others. I was quite interested on it listening to their highly positive views on this product.. only later after receiving it I understood they have been paid to promote it...The audio quality is pathetic just like a cheap Chinese wired earphones... After all even this is a Chinese product.. Am not meaning to sound biased infact I have been using some of Chinese products myself.. but this is a garbage. Not at all worth the price.. not even worth 1k. The quality of the earbuds is so plasticy that it feels so delicate.. it doesn't even fit your ear properly... Dont buy this.. save your money and go for another product..

  
",1.0
B0855T8JT2,"







  
  
    Nice product
  
","









  
  
    
  This is my first TWS Bluetooth earbuds, after lot of research only I've bought this.First of all, the connectivity is swift, the moment it has been taken out from the case it'll get connected to the connected devices.+ Built quality is nice, soft feel, good material quality , elegant colour combo(imperial Jade), less weight, good fit in ears used more than 6hrs still having a good charge and connectivity. About charge will review after a week of usage.+ While connecting in mono, two earbuds can be connected to 2 mobile devices like L bud for one mobile and R bud to another one. But reconnecting the same as pair is little workout is needed.+ Range is quite good most of the times moving to different rooms yet the buds are managing+ Lovely magnetic case to hold the buds but together the buds doesn't have magnets. Don't miss the buds.+ Am not audiophile, so not going to write much about the separation, high low and mids.As a whole, the purpose gets solved. Like this much..

  
",5.0
B0855T8JT2,"







  
  
    Worth the money....
  
","









  
  
    
  The audio quality is superb. It has good bass which does not dominate the treble and vocals so you get a fairly balanced track. It performs well during calls but I'd recommend them if music was your priority.They fit great even during a work out.... but will slightly change position if you bend horizontally or go upside downThe noise cancellation was never going to be sound proof like. We live in India. But it gets the job done in music. Exterior noise will creep in a little if you are watching a movieThe pairing is quick. As soon as you wear them they pair with each other and announce "" left channel "" "" right channel "" and "" connected "".The charging is great. I doubt the 20 hour claim, but you can go 4-5 days without a charge. I can live with that.The look of green and copper is sexy af.... So it doesn't disappoint thereGo for it!

  
",5.0
B0855T8JT2,"







  
  
    Just search for a better option
  
","









  
  
    
  I mean it's an average set of earphones, nothing special. The reviews online are honestly pretty misleading and dishonest. The case and even the earphones are made of plastic and not good quality.It's just disappointing to wait for the item with high hopes and overall they are not a comfortable pair to wear.Can't be used while running cause they fall right off. Not enough support for them to stay in. I recommend buying something else and don't make the same mistake I made.

  
",1.0
B0855T8JT2,"







  
  
    I am truly disappointed! Hope the company fixes the issues
  
","









  
  
    
  Sound quality was not so great on phone, but when I connected it to laptop it was little audible enough.I have experienced lot of connectivity issues and also when i tried increasing or decreasing the volume using the touch sensor it didn't actually work well, i thought it should be done in a rhythm of taps and waited for sometime practicing but still was of no use, i tried different things... connectivity is worse if i have to be brutally honest.And the first time when i charged the case with the headphone in it, it took approx 4 hours to charge.And i felt like i got the used product too.I bought Boat Rockerz 255F neckband which costed me 1500/- which connects very well and sounds loud enough.So, I can definitely say with my experience this is not a great product and not worth the money that we are spending although the headphones are beautiful looking ones.I am truly disappointed!

  
",2.0
B0855T8JT2,"







  
  
    Good, robust product
  
","









  
  
    
  When I saw the package and saw that it was green in colour I was a bit skeptical but then when I opened the box, I immediately liked it.Good build quality, durable case and the buds are good as well. They have already fallen out 3-4 time but have survived.Sound quality is good but won't call it 100% noise cancelling, specially not in the Indian traffic conditions which is where I use it most.A bit disappointed with the call feature. There have been instances where the caller on the other side could not hear me. Would need to hear someone with the same product to certify this bit.One problem I am not able to overcome is that these don't stay inside the ears and keep coming out. I am afraid of losing them sooner rather than later. Would need some help maybe in getting educated about the correct way to put them on.Overall, good quality product except for the calling bit. Range is also pretty good.Received the product pretty quickly after placing the order. Amazon really has mastered that bit

  
",4.0
B0855T8JT2,"







  
  
    ORDINARY!!
  
","









  
  
    
  Ordinary sound quality headphones, same as those you get free with a smartphone.I can hear outside sound even at full volume.Call quality is really bad other person on call can hear his own voice.Bass is not adequate nothing compared to airpods as some people have compared to in reviews.Sound quality should be better at this price but it's not.Overall not a good product.Battery life is good.Returned the product after 1 day of use.

  
",2.0
B0855T8JT2,"







  
  
    Initial Impressions: Very good. Wait for a 1 month review!
  
","









  
  
    
  Short: Product is very nice, I rate 4/5Detailed:Audio Quality: I feel audio quality from is product is same as Apple airpods. Awesome clarity and excellent noise cancellation. (5/5)Looks: Looks soooo premium with a rubbery touch. I choosed Green, it looks fantastic. Find the images attached.(5/5)Design: I cannot rate on this point because it depends on my Ears as well. For my ears i'm not happy with the 3 earbuds they provided. I'm using other earbuds and it fits perfectly in my ears. Gold coloured button looks amazing and giving a nice shades with light, but those are bit hard and produces sound when clicked. (NA/5)Call Quality: 1 thing i'm not happy with is call quality. When the room is quiet the other person is able to hear my voice, but it is outside so so noicy environment it really sucks.Battery life: Impressive so far.Overall - I'm using from last 4 days. Watched 3-4 movies and really enjoyed the audio quality, looks & battery are fantastic. I would have rated 5* if call quality is better.

  
",4.0
B0855T8JT2,"







  
  
    Dont buy this.
  
","









  
  
    
  Its a so so product. In that price range go for Blupunkt true wireless. You will get that on 3999 rs. Bass is good but not awasome. Sound quality is also not much appeciating. Price is too high in the segment. Not getting the touch screen not also good quality sound. Main problem is noise cancellation. There is actually no noise cancellation. Trust me. Neither hd quality sound. Sometime it automatically disconnected. So no good feature in 4999 rs. Just imagine. Only good thing is battery backup. Dont buy this. Go for other product. It is an under average product.

  
",2.0
B0855T8JT2,"







  
  
    Review after 3 days of use.. buttons setup gets stuck and the pod gets turned off..
  
","









  
  
    
  1 - looks and feelI order green which looks classy and the mat finish is an add on. Feels premium and study. The case has good grip and look fantastic. Good size and form factor.2- soundSound is moderate , lacks some kicks and punch. Not recommended if you need high base.3- comfortNot comfortable if your ears are small. The pod size is very curvy hai bulky. Lacks wings. Mat finish doesn't stays in the place.I have tried all the 3 bud available but non of them gave me comfortable fit.4- batteryHigh and very good battter life.5- callingThis is the area where TWH lags the most. And same us the case with this crossbeats.Fails-1- Many time if i press the button even for a single time it gets stuck and didn't gets back to its position. And then the pod gets turned off ( since pressing the button for 2 sec pod gets turned off)2- Not very comfortable3- listeners hear very low and double voice.

  
",2.0
B0855T8JT2,"







  
  
    I am loving it 😍 but now warranty issue😔
  
","









  
  
    
  They are beautiful, plus amazing sound quality , plus good battery backup, plus type c charging, case can also charge the earbuds atleast 2 to 3 times on a single charge. I am using them for couple of days.Totally satisfied.Easy and comfortable fit in ears.this was my review after a week as its sound quality is so good. I purchase it on February 2020. Now in july 2020 one ear piece is not connecting with the other. I raised this issue in their service center. But you will get replacement only if you have registered your product in their website. Plus you also keep that packing box of product. I dont have box now so i cant claim replacement. They said.

  
",1.0
B0855T8JT2,"







  
  
    Very detailed observations and review
  
","









  
  
    
  Have been using it for about a week.Initially when they arrived, i simply opened the package and directly put them in my ears. Felt the bass was low and sound was not that loud. But after 10 min of warming up they were sounding completely different. Base was awesomely punchy and deep also the sound was very loud. Fell in love with the base and sound quality within 10 mins.Highs mids and lows are also very clear, was able to hear parts of songs that i had never experienced specially the lows. To give an example, listen to atif aslam singing old songs. This is a concert recording available on YouTube and and when played in crossbeats pebble, i was even able to hear what the backstage people were shouting.Coming to battery life, the case took 1hr45min to charge from 0 to 100 without the buds in them and gave 4+ full charges to the buds.The buds on other hand took 1hr10min to charge completely and worked for 4+ hours continuously on single charge at 90% volume.Calling part is good for indoor situations but the buds struggle to capture your voice in traffic conditions (requires you to speak a but loudly).Noise cancellation is average and as a result the outdoor calling experience is not that great. The opposite person can hear you and understand you as well but the only issue is the background noise of the traffic which doesn't sound pleasant and can be irritatting on long calls. For indoor calling they work perfectly fine. However since i use them majorly for music amd rarely for calling in outdoor condition, it doesn't bother me at all. Also while listening to music outdoor, due to the perfect fit i got, i cannot hear even a single horn when the volume is 90%.Speaking about the fit, i tried all the 3 tips provided and eventually settled for the mid size tips which are default with the buds. Have been regularly using them while jogging, bike riding and in bed. Thay have never fallen from my ears nor have they ever felt loose in ears after prolonged use. The fit is perfect because of which the bass feels so strong. Also they are helmet friendly and doesn't come off even while wearing and removing the helmet. However i felt them slightly uncomfortable to wear in bed because of their thickness.Controlls seems good with the button but when you press them it pinches your ears slightly. However after a weeks use i have got used to it.Connectivity is another strong point here. I plug my phone to charging on side table and will be washing my face in the bathroom seperated by a concrete wall still there will be no lag as such. However there is noticable lag when using it for playing pubg. Also they automatically connect to my phone as soon as i take them out from the case.The build quality is also very sturdy. They have slipped from my hand twice while putting them back in case and still when connected they sounded perfect.To summarise it upPros1. Very clear, loud and crisp sound2. Very deep and punchy base3. Perfect fit4. Good battery backup5. Auto connects as soon as i take them out of the case6. Excellent build quality7. Pocket friendly because of the small case.8. Easy to insert the buds in case as they are magnetically guided.Cons1. Week noise cancellation at low volumes2. Not good for outdoor calling.3. If the case battery is completely exhausted, then the buds don't switchoff when inserted in the case and need to be switched off manually. I guess they recognise the case only with the charging and not with its magnetic fit.

  
",5.0
B0855T8JT2,"







  
  
    Not so great at sound and Fit is uncomfortable. So have returned them back
  
","









  
  
    
  Pros:The mat finish on the case and the feel of the buds is really good.Has Type-C charging.Playback time 5-6 hrs on a single charge.Covers upto 30 feet from the device.Voice over calls is good. But can get messy when there is traffic/other disturbance.Cons:Gets really uncomfortable after 2 hours of usage. Ears start to pain.Buds feel little heavy.Connectivity is a hassle. If you use single bud and try to switch back to both the transition is not so great. One has to put them back into the case and take it out to reconnect.case looks a little too bulky.Charging cable is hardly 3-4 inches.Connectivity isn't so great.Multi function buttons are little sturdy.the sound quality is poor. the clarity or sound at 75% is equivalent to that of 40% of what my wired earphones are.

  
",2.0
B0855T8JT2,"







  
  
    For MRP 4999 great build, balance sound, great battery life.
  
","









  
  
    
  BUILD :- Prity good actually, I'll go as far as to say better then the expensive counterparts for Ex- galaxy buds +, airpods etc. cause they give this glasses finish which scratches easily, slips out of your pocket easily etc etc. This gives robbery finish which doesn't do any of them.SOUND :- Prity good for the price, high's good, vocals good, bass decent (not as punchy as jbl's & other's in same price) lows are almost as good. So overall balance sound profile, you won't complain.BATTERY LIFE :- Nothing to crazy, around 4-5h with buds and 24h with the case for my 75% volume use.Over all:-I would say you won't regret your purchase given the price 4,999 or less. Great build quality, good balance sound profile, great battery life.

  
",4.0
B0855T8JT2,"







  
  
    Nice earbuds
  
","









  
  
    
  These wireless earbuds have better sound,bass and design as compared to other brands who claim to have a good sound quality  along with long batttery life ,though  I havent checked battery life yet.Another reason for buying these ear buds is ,these  are made by banglore based indian  start up companyNoise cancellation is goodFYI : im neither working for the company nor its owner paid me to write this review XDThe only cons are :1. no volume buttons (have to tap 3 times left and right both to increase a volume by 1 level )2. No next and prev button (have to tap right earbud twice to forward a track or tap left earbud twice to play previous track).Build Quality and sound(especially bass) are goodPS: im not an audiophile

  
",5.0
B0855T8JT2,"







  
  
    Waste of Money
  
","









  
  
    
  The ear piece doesnt fit snugly in your ear and comes out even in normal walking...forget Gym and running...pure waste of money...initiated returns but no response from Amazon too.

  
",1.0
B0855T8JT2,"







  
  
    Nice ear buds
  
","









  
  
    
  I will give 4 rating for these ear buds. I'm not a heavy user. I'll use these ear buds for 1 to 1.5 hours a dayPros -1. Sound quality - Really nice. Clarity of sound is clear and listening music is great on this product. I guess for a heavy user they might feel pain(which might be true for any other brands also) but for 30 mins or 1 hour it is nice.2. Noise cancellation - This is a surprise. I've not expected the devise to provide  great  noise cancellation but it exceeded the expectations . 5/53. Battery - Really good battery life for normal users.4. Call quality - This is one of the primary reasons why I bought them. Till now I've not faced any issues and I'm happy with the call quality. Even the other party was able to hear me clearly.Cons1. I think they don't fit into ears perfectly so there is always a chance that you may drop them. It happened with me couple of times but no damage done. So For normal walking they work perfect but for Treadmill / for jogging they won't work.2. The ear buds pop up from ear too often so I reduced rating to 4

  
",4.0
B0855T8JT2,"







  
  
    waste of money
  
","









  
  
    
  Waste of money and horrible customer support. I have used many Bluetooth headsets this is the worst one.. I bought it approximately 3 months back and it gone for toss. Customer care tells me i dont know to use it properly so its not connecting... Please dont buy

  
",1.0
B0855T8JT2,"







  
  
    Has audio lag and uncomfortable fit in my ear.
  
","









  
  
    
  Buy it if you just need it to listen to music, and while slow walking. Not suitable to use while running or jogging.The fit is not good and it makes bubble sound while inserting in my ears.The lag is terrible. You can’t enjoy a fast paced movie or while playing action games like PUBG.Received an hour ago. Already requested for return.

  
",3.0
B0855T8JT2,"







  
  
    Very poor connectivity between the earbuds
  
","









  
  
    
  The pairing between the earbuds is very poor the right piece keeps disconnecting. I sent them a message on the chat but they seemed to be helpless. The sound quality and battery life is decent.

  
",1.0
B0855T8JT2,"







  
  
    Good for music ONLY
  
","









  
  
    
  Good only for listening to music. USELESS for audio calls. TOTALLY USELESS if you attempt taking calls in open environment.

  
",1.0
B0855T8JT2,"







  
  
    Elegant and user friendly.
  
","









  
  
    
  Compared to what I had read and heard, my experience says the following:1. Looks beautiful, the finish of the product is awesome.2. Sound quality is good, however it lacks base.3. There are times at certain angles the sound sync goes off between the two ear buds4. Battery life is amazing, it’s been a week and I haven’t charged it even once. Rough usage of about 4-5hours a dayOverall the product is a very good buy, with minor tweaking one can make do with it. Very convenient to carry, good grib. Overall I would rate it 3.8/5

  
",4.0
B0855T8JT2,"







  
  
    Not worth the price...
  
","









  
  
    
  Visually the product is amazing. But performance is really below average. Noise cancelation is great but im assuming it's cause of the fact they're in-ear Volume is as if im listening at 50% volume. Returned it in 5 minutes of testing. Don't buy it!

  
",1.0
B0855T8JT2,"







  
  
    Left ear pebble isn't working.
  
","









  
  
    
  Hi my Left pebble isn't working. How can I get it replaced. It's not getting charged also.

  
",1.0
B0855T8JT2,"







  
  
    Call quality 0
  
","









  
  
    
  Call quality very bad other person hears his own voice with crackling sound very irritating do not buy

  
",2.0
B0855T8JT2,"







  
  
    Great Buds at an awesome price
  
","









  
  
    
  Made in India at its best. I had ordered after studying the reviews of bunch of headphones. And thought would promote made in india.The review :The headphones are excellent. The connection was prompt and and paired easily to both IPhone and OnePlus.Sound was crisp and clear with good bass. Call quality was great although a little lag in speaking during the call.Control on buds are great. You can skip a song, pause it, increase volume and call for Siri, or Ok Google. Works flawlessly.They snugly fit, and stays on during workout. They don’t come out from ears. They are light in weight.The only issue with it which I had was the box of buds were faulty it did not charge or auto disconnect on keeping the buds.It’s a great bud that too made in India. Kudos to team Crossbeats. We will be the best in the world.

  
",4.0
B0855T8JT2,"







  
  
    GET YOUR PRIORITIES RIGHT
  
","









  
  
    
  If you're looking for the best earbuds under 5k for best music experience with amazing battery life and ready compromise a little on call quality.. Pebbles is your choiceCompletely compatible for gym workouts and also completely sweat resistantBuild quality is extremely goodClassy and aesthetic lookCan run for as long as 6 hours in one charge and rechargeable for another 4 to 5 times from one fully charged case

  
",4.0
B0855T8JT2,"







  
  
    I don't recommend buying this at all.
  
","









  
  
    
  It was working for about two weeks, and then suddenly the earbuds don't pair to each other anymore, thank you for stealing my money. Can't even return it. I spent 7.5 k on the urban and pebble, both have stopped functioning in under a month. Never getting my money's worth ever 😂

  
",1.0
B0855T8JT2,"







  
  
    Sound
  
","









  
  
    
  It is not working properly. The buds are not pairing and even the noise is too much. I have tried for so many times to pair as per instruction. At first it was paired but automatically the pairing cancelled and it is working as mono now.

  
",1.0
B0855T8JT2,"







  
  
    Definitely not worthy (Price& quality )
  
","









  
  
    
  I had been trying to get a decent true wireless earphones lately and as it was the Amazon sale which was happening...I bought three different earphones within a budget..first I bought a ptron true wireless which costed around 999 which wasn't good at all interm of audio quality and the connectivity for making phone calls. Then i upgraded to an bit more expensive one seeing the reviews and comments on this product hoping it will be worth it but when I received it it's fair interms of audio quality but not as good as mentioned in the product details..no noise cancellation, the audio was breaking in an out. After pausing a song from the laptop or phone it takes time to play in the synced mode..it has a super delay or lag in playing video files. When phone calls were made the audio from wasnt clear to the receiver and made the receiver hard to hear my voice clearly as if a person is talking from a distance of 10 meters away from the phone..a normal wired earphones worth ₹500  sounds clear and better than these though the built and design factors are average so paying 4k and above isnt advisable and definitely not worth it. All the products have the made in China engraved on it

  
",3.0
B0855T8JT2,"







  
  
    Made in China earphones.
  
","









  
  
    
  Not very pleased with the product.👉🏻Quite big in size and does not fit properly.👉🏻Sound quality is okayish. Not that grear. Not on a mark of 4.5k product.Noise cancellation is also not that great.It has buttons on the buds, it's quite uncomfortable to push it to make some actions. Rather a touch should have been better.It's actually made in china and I was shattered when i got to know about it. Rather go for some other product.

  
",2.0
B0855T8JT2,"







  
  
    Sound is good but mic is really bad
  
","









  
  
    
  I am writing this review after using these headphones for 2 days. Battery and Build quality is good enough but comfort is not so, left earpiece keeps falling off, changing ear tips didn’t help much, so exercising with these is not recommended, could fall off and you would lose them if not careful.Sound is good enough for the price and notice cancellation is also good, cuts off background noises.What bothered me the most is the mic quality, if you’re putting both the ear pieces and call someone then the person at the other end is not able to hear you clearly, it’s like sound is coming from far away and that too with echo. Only if you keep one ear piece in ear and other near your mouth then you’ll be audible enough for the other person to hear you clearly.Had to return them as I didn’t find them up to the mark for my needs.

  
",3.0
B0855T8JT2,"







  
  
    Don't spend your money on this!
  
","









  
  
    
  The product has been giving me problem ever since I purchased it.The sound quality is not greatThe earphones frequently get disconnected from the deviceThe right ear bud doesn't connect to the left ear bud (essentially both ear buds) are not working together (only one will work at a time)Battery life is averageBass is not at all goodI've been a regular Crossbeats users (Raga/Wave etc.) But this has truly been one of the worst products to ever purchase from Crossbeats. Very disappointing

  
",1.0
B0855T8JT2,"







  
  
    NEVER BUY CROSS BEATS PRODUCT, READ
  
","









  
  
    
  Never order this buds,i ordered and found a bus was faulty and i ask for replacment i got just the box,and there was no headset in it ,NEVER GET ANY PRODUCT FROM CROSSBEATS and iam really dissapointed by amazon that i havent received even any of refunds or replacment after that, From this experience i am really scared for pre order as there is no service by amazon.Now for 4500i just have got the empty box of amazon with a short cable.I ll advice dont buy this product nor from CROSSBEATS.ITS WASTE OF MONEY.

  
",1.0
B0855T8JT2,"







  
  
    Right ear plug getting disconnected again and again
  
","









  
  
    
  1. Received defective item both times. How can that be possible that two times, the same right ear bud is faulty and getting disconnected again and again inbetween a 5 min song. Even used both ear phones the entire day. Also resetted the earbuds couple of times during the day. The same problem exists.2. the mic quality is way below par. Both times , the person on the other side can't understand my voice. First time the right ear bud mic was not working and next time the left mic not working.I wish, I would have enjoyed if received a good piece. Overall build quality, sound quality and battery life is good

  
",2.0
B0855T8JT2,"







  
  
    Good fit and finish!
  
","









  
  
    
  I got these ear phones during Amazon Prime day. After looking at a lot of options I zeroed in on these ear phones, based on the number and quality of reviews. And I am quite pleased with them.Packaging:Solid packaging. Really appreciate the effort put into this to give it that premium feel, even before pulling it out of the box.Fit and finish:Excellent!- Box snaps shut with a nice sound and opens also quite firmly. Nice feeling- The material is nice to the touch- Buttons on the ear phones have a nice click, which is great- LED lights on the back (for the unit and ear phones separately) is informativeAudio quality:When I first used them I found them quite bassy. This probably works for most people, though. Over time, I have got used to it and have begun to use them quite often.All in all a great purchase and highly recommend if you want a product with good fit and finish, as long as you are not completely averse to bassy notes.

  
",4.0
B0855T8JT2,"







  
  
    Overpriced and overrated
  
","









  
  
    
  Worst earpods I have ever used.Only cons no pros hence returned same.1: Lacks bass.2: Doesn't fit properly and kept falling off.3: Pathetic customer service.4: Very poor battery life.

  
",1.0
B0855T8JT2,"







  
  
    detailed review-Had to return the product
  
","









  
  
    
  Here is d detailed review post using it for almost >7 days.1)Battery- I was using boat rockerz earlier- more or less avg battery life, U can hear max 90 mins - 100 mins of songs with 100% charge.2)wearing confirt- the fix is good, no pain despite wearing it throughout the day 5/53) Product quality- the buit is good 4/54) Issues - while listening to music the sound skipped 3 times from my Right earbud. seems the peice i have will not work longer. This is scary in terms of product performance.5)Range- It easily penetrates one wall but when there are multiple it breaks.... 4/56)Charging- looks ok, 4/57)Looks- 4/58)Ease in connecting- 2/5, they must improve it... connecting is really tedious if u dont switch on both buds together.In alll - am scared rt now about a possible break down as it has started skipping sounds and i had to shake my head to bring it back....Returned the product now...the left bud was not connecting.

  
",3.0
B0855T8JT2,"







  
  
    Pls chk for another earbud..
  
","









  
  
    
  Sound quality is goodBoth earpods not getting connected with each other , while connecting to Bluetooth two different earbuds r showing if u click on 1 it will get connected other will get dissconnected same for 2 nd also if u click on 2nd 1 will get dissconnected mean to say u will hear music in 1 earbud only tried to reset as per manual but no luckluckWhy it showing two connectivity?

  
",1.0
B0855T8JT2,"







  
  
    Avoid it
  
","









  
  
    
  Worst product bought ever.

  
",1.0
B0855T8JT2,"







  
  
    Money Wasting
  
","









  
  
    
  Very low sound quality like cheapest tws earphones in market i ever heard. Don't buy these.Vey low very low Bass even in full volume.

  
",1.0
B0855T8JT2,"







  
  
    Great for music, so so as a handsfree
  
","









  
  
    
  Serves it’s purpose well when it comes to listening music. It’s not a very good hands free fir call though. I’ll give it 9/10 for music and bass and a sorry 4/10 for phone handsfree. To sum up:1. Sound quality: 9/102. BASS: 9/103. Aesthetics: 9/104. Comfort: 7/105. Price: 10/10 (if you expect more, be ready to shell out 10k plus and stop cribbing).6. Form Factor: resounding 10/10.Overall a great product within the price bracket.

  
",4.0
